영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 상동 743-5 ,"전라남도 목포시 상리로1번길 25, 1층 (상동)",58642,일반조리판매,146327.6384,146229.9081
영업/정상,영업,전라남도 목포시 용당동 1050-8 ,"전라남도 목포시 영산로245번길 20, 2동 (용당동)",58652,커피숍,144316.9406,145266.4048
영업/정상,영업,전라남도 목포시 산정동 1753 ,"전라남도 목포시 원산중앙로 7, 3층 (산정동)",58638,기타 휴게음식점,142634.6637,145570.1962
영업/정상,영업,전라남도 목포시 산정동 1732 ,"전라남도 목포시 원산중앙로 51, 127,128호 (산정동)",58637,커피숍,142947.2016,145866.4413
영업/정상,영업,전라남도 목포시 대의동2가 1-80 ,"전라남도 목포시 영산로29번길 9-2, 1,2층 (대의동2가)",58729,커피숍,143301.0162,143394.6064
영업/정상,영업,전라남도 목포시 상동 525 ,"전라남도 목포시 영산로 413-1, 1층 (상동)",58644,커피숍,145928.8704,145587.0104
영업/정상,영업,전라남도 목포시 용당동 960-108 ,"전라남도 목포시 영산로270번길 2, 1층 (용당동)",58707,일반조리판매,144614.3351,145187.2028
영업/정상,영업,전라남도 목포시 용당동 1024-17 ,전라남도 목포시 용당로263번길 8 (용당동),58647,커피숍,144780.7459,145928.2904
영업/정상,영업,전라남도 목포시 용해동 132-33 ,전라남도 목포시 이로로9번길 16 (용해동),58701,편의점,145598.6522,145166.8796
영업/정상,영업,전라남도 목포시 대성동 78-9 ,"전라남도 목포시 삼일로 46-2, 1층 (대성동)",58722,커피숍,143601.9812,144364.2009
영업/정상,영업,전라남도 목포시 상동 1159-14 ,"전라남도 목포시 미항로 129, 1층 (상동)",58750,커피숍,148162.969,144384.9525
영업/정상,영업,전라남도 목포시 상동 779-4 ,"전라남도 목포시 번영로 167, 1층 (상동)",58659,떡카페,146822.1002,146004.5449
영업/정상,영업,전라남도 목포시 옥암동 915-6 ,"전라남도 목포시 옥암로 168-6, 1층 (옥암동)",58657,일반조리판매,147192.8033,146221.959
