공원명,공원구분,소재지지번주소,위도,경도,공원면적,관리기관명,제공기관코드,제공기관명
승지공원,근린공원,경기도 시흥시 능곡동 552,37.371378,126.813132,10842,경기도 시흥시청,4010000,경기도 시흥시
광탄2호 소공원,소공원,경기도 양평군 용문면 광탄리 711,37.509628,127.628406,856,경기도 양평군청,4170000,경기도 양평군
광탄3호 소공원,소공원,경기도 양평군 용문면 광탄리 762,37.508443,127.627414,847,경기도 양평군청,4170000,경기도 양평군
공흥 소공원,소공원,경기도 양평군 양평읍 공흥리 885-1,37.493844,127.5093259,1276,경기도 양평군청,4170000,경기도 양평군
한강아트로드 공원,소공원,경기도 양평군 강하면 운심리 43-25,37.496021,127.4082162,3300,경기도 양평군청,4170000,경기도 양평군
강하 소공원,소공원,경기도 양평군 강하면 운심리 28-1,37.496164,127.4123259,394,경기도 양평군청,4170000,경기도 양평군
오빈12호 소공원,소공원,경기도 양평군 양평읍 오빈리 96-40,37.505413,127.476939,864,경기도 양평군청,4170000,경기도 양평군
오빈13호 소공원,소공원,경기도 양평군 양평읍 오빈리 88-47,37.506925,127.479025,568,경기도 양평군청,4170000,경기도 양평군
오빈14호 소공원,소공원,경기도 양평군 양평읍 오빈리 88-46,37.507148,127.479103,404,경기도 양평군청,4170000,경기도 양평군
오빈15호 소공원,소공원,경기도 양평군 양평읍 오빈리 81-32,37.50698641,127.4796766,293,경기도 양평군청,4170000,경기도 양평군
양근소공원(17호),소공원,경기도 양평군 양평읍 양근리 53-2,37.49946708,127.4921815,2037,경기도 양평군청,4170000,경기도 양평군
병산1호 소공원,소공원,경기도 양평군 강상면 병산리 138,37.49067302,127.4739159,1743,경기도 양평군청,4170000,경기도 양평군
병산2호 소공원,소공원,경기도 양평군 강상면 병산리 142-35,37.49108254,127.4753493,684,경기도 양평군청,4170000,경기도 양평군
병산3호 소공원,소공원,경기도 양평군 강상면 병산리 40,37.48961623,127.4791688,1477,경기도 양평군청,4170000,경기도 양평군
병산4호 소공원,소공원,경기도 양평군 강상면 병산리 1205-1,37.4885532,127.4791562,417,경기도 양평군청,4170000,경기도 양평군
양근소공원(19호),소공원,경기도 양평군 양평읍 양근리 739,37.49280474,127.4894425,746,경기도 양평군청,4170000,경기도 양평군
양서 소공원 7,소공원,경기도 양평군 양서면 신원리 471-5,37.52498145,127.3720793,2271,경기도 양평군청,4170000,경기도 양평군
공흥 양근공원,소공원,경기도 양평군 양평읍 공흥리 456-25,37.4877417,127.4986762,769,경기도 양평군청,4170000,경기도 양평군
송일어린이공원,어린이공원,대구광역시 달서구 월성동 500-1,35.82413307,128.5328213,1786,대구광역시 달서구청,3470000,대구광역시 달서구
송지공원,어린이공원,대구광역시 달서구 송현동 1977,35.82616872,128.5558955,1649.4,대구광역시 달서구청,3470000,대구광역시 달서구
송학1공원,어린이공원,대구광역시 달서구 송현동 1035-21,35.83616843,128.5551428,2086,대구광역시 달서구청,3470000,대구광역시 달서구
수밭1공원,어린이공원,대구광역시 달서구 도원동 928,35.79812414,128.5488381,804,대구광역시 달서구청,3470000,대구광역시 달서구
신당어린이공원,어린이공원,대구광역시 달서구 신당동 1759-1,35.85842521,128.498908,2029.9,대구광역시 달서구청,3470000,대구광역시 달서구
아람공원,어린이공원,대구광역시 달서구 도원동 1440-2,35.80592067,128.53079,1666,대구광역시 달서구청,3470000,대구광역시 달서구
