"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"곡성 섬진강 기차마을",관광지,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,70000,주차장+화장실+장애인 공용화장실+모유수유실,,,,,,2005-03-01,2500,210,"증기소리가 둔탁하지만 촌스럽지 않고, 많은 사람들의 관심을 받지만 혼자만의 공간이 있는곳.증기기관차와 레일바이크체험, 음악분수, 엔터테인먼트 놀이공간까지 옛 추억과 테마가 있는 새로움과 익숙함이 공존하는 새로운 개념의 테마파크이다.인기 관광지로 각광을 받고 있는 기차마을의 첫 관문은 옛 곡성역 건물을 그대로 기차마을 정문으로 사용하고 있다. 그래서 그곳을 통과하면 아련한 추억이 기다리고 있을 것 같다.1960년대를 고스란히 옮겨 놓은 것 같은 플랫폼으로 기차가 들어오자 내리는 승객들과 그것을 배경으로 사진을 찍어 추억을 남기고 , 플랫폼에는 수형이 아름다운 두 그루의 소나무가 있는데 소나무를 배경으로 나란히 서서 단체사진을 찍어도 멋지다.관람은 반 시계 방향으로 돌면서 관람시설과 놀이시설을 하나씩 섭렵해가는 것이 가장 효과적인데 기차 체험 공간 치치뿌뿌 놀이터, 오감으로 느끼는 4D 영상관, 커다란 도깨비가 방망이를 치켜들고 서 있는 재미있는 요술 랜드를 차례로 돌아보는 동안 우리는 어느덧 동심의 세계에 흠뻑 빠져들수 있다. 전통체험관에서 칼에 글귀를 새기는 무형문화재 낙죽장도 전시관도 볼 수 있다.기차마을 최고의 포토존으로 알려진 장미공원은 기차마을 안에 있으면서도 별도의 공원이나 다름없는 매우 특별한 공간이다. 장미공원은 무려 3만 7천여주, 1004종의 장미와 세계 몇 안 되는 희귀종도 수십종을 보유중이다.그리고 그 명성을 유지하기 위해 숙련된 원예 전문가들이 일년 내내 정성을 다하여 관리하고 있는데 5월 장미 축제때는 이곳의 장미들이 일제히 개화를 하면서 대단한 장관이 펼쳐진다.이때 우리나라 최고로 꼽히는 장미의 향연을 즐기기 위해서 전국에서엄청난 관광객들이 몰려드는데 곡성 장미공원의 5월 장미는 꼭 봐야할 명소이다.",061-362-7461,전라남도 곡성군청 관광과,2023-08-01
"기차마을 장미공원",관광지,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,40000,주차장+화장실+장애인 공용화장실+모유수유실,,,,,,2011-05-01,4000,210,"섬진강기차마을 단지 내에 위치한 장미공원은 대한민국 최고의 장미공원을 목표로 사랑의 상징 ‘천사’와 음이 같은 1,004 품종을 수집하여 40,000㎡의 부지에 독일, 프랑스, 영국 등 유럽의 우수한 장미품종들을 수집, 전국에서 가장 많은 1,004종의 장미를 식재하여 조성되었다. 장미와 다양한 수목, 연못 등이 아름다운 경관을 이루고 있으며, 그 밖에 분수, 미로원, 야외공연장, 파고라 등 다양한 시설을 갖추고 있다. 독특하고 다양한 장미품종들을 정성스럽게 관리하여 5~11월 계속해서 장미꽃을 감상할 수 있고, 매년 5월에서 6월 사이 세계장미축제를 개최하여 많은 관광객들을 맞이하고 있다.",061-360-8443,전라남도 곡성군청 관광과,2023-08-01
"섬진강 침실습지",관광지,전라남도 곡성군 고달면 고달길 192-6,전라남도 곡성군 고달면 고달리 785-1,35.27503038,127.3335915,2036815,주차장+화장실,,,,,,2016-11-01,2000,12,"제22호 국가기정습지로서 천혜의 자연환경이 잘 보전되어 있다. 수달, 흰꼬리수리, 삵 등 멸종위기 동물의 서식지이다. 이른 아침 물안개와 일출, 그리고 일몰풍경 등 시시각각 변하는 풍경이 한 폭의 동양화를 연상시킨다.침실 습지는 섬진강 유역인 곡성군 고달면 고달교에서 오곡면 오지1교까지 서울 여의도 면적과 비슷한 규모의 광활한 강 습지로서 물버들 군락이 이룬 가운데, 강변에는 울창한 갈대숲이 형성되어 있다.수달, 고라니, 오소리를 비롯한 포유류와 다양한 조류들이 서식 하는 생태계의 보고로 2016.11.7 국가습지보호구역으로 지정되었다.침실 습지는 언제 어느 때 찾아도 섬진강이 자아내는 아름다움의 진수를 만날 수 있지만 특히 이른 아침 무렵에 찾아가면 겨울에는 상고대, 이른 봄과 가을에는 물안개가 그려내는 비경을 만날 수 있다.버드나무와 갈대숲 그리고 크고 작은 섬들이 어우러져 아름다운 경관을 자랑한다.빼어난 풍경과 생물 다양성을 인정받아 2016년 11월에 강 중류 하도습지로는 유일하게 환경부로부터 22번째 국가습지로 지정되었다. 특히 일교차가 심한 새벽이면 물안개가 피어오르면서 환상적인 장면을 연출한다.",061-360-8512,전라남도 곡성군청 환경축산과,2023-08-01
"곡성아트빌리지",관광지,전라남도 곡성군 오곡면 섬진강로 1455,전라남도 곡성군 오곡면 송정리 55-4,35.23004949,127.3677915,13222,주차장+ 무선 인터넷+ 화장실+장애인 편의시설,,,,,,2021-09-01,30,210,"곡성아트빌리지는 섬진강 증기기관차가 운행하는 가정역에 위치해 있으며 아트갤러리, 유리공예 체험장, 야외공연장, 캡슐호텔과 목조펜션, 카페굴리엘모 등으로 이루어져 있어 가정역에서 머무르며 향기 가득한 차 한잔과 함께 낭만 가득한 섬진강을 느껴볼 수 있다.",061-362-5559,전라남도 곡성군청 관광과,2023-08-01
"곡성섬진강천문대",관광지,전라남도 구례군 구례읍 섬진강로 1234,전라남도 구례군 구례읍 논곡리 829-2,35.22666779,127.3691674,2283,주차장+화장실+장애인 공용화장실,,,,,,2007-09-01,100,25,"2007년 9월 19일 개관한 곡성섬진강천문대는 아름답고 깨끗한 섬진강이 흐르는 강변에 위치하고 있으며, 한국천문연구원에서 우리나라 순수 과학기술로 제작한 600mm 천체망원을 설치한 주관측실을 비롯하여 정밀도를 자랑하는 다양한 망원경들이 설치되어 있는 보조관측실, 8m 원형돔 스크린을 갖춘 천체투영실, 그리고 각종 천문자료 등을 전시해 놓은 학습공간으로 구성되어 있어, 별에 대한 옛 추억을 되새기고 미래 우주시대 주인공이 되기 위한 꿈과 미래를 찾아 떠나는 우주여행의 길잡이 역할을 충실히 할 것이다.",061-363-8528,전라남도 곡성군청 관광과,2023-08-01
"섬진강도깨비마을",관광지,전라남도 곡성군 고달면 호곡도깨비길 119-99,전라남도 곡성군 고달면 호곡리 136-1,35.25424902,127.363209,6144,주차장+화장실,,,,,,2005-06-01,150,5,"곡성에도 여느 고장처럼 무수한 도깨비 이야기가 전해져 내려오고 있지만, 그중 태종임금, 이방원의 심복이었던 마천목 장군과 도깨비살 전설이 가장 유명하여 애니메이션으로 제작되어 기차마을 요술랜드에서도 상영하고 있다. 돌로 바다나 강물을 막고 그곳에 나뭇가지를 촘촘히 박아서 고기가 빠져나가지 못하게 한 다음, 물고기를 잡는 전통 어로방식을 어살이라고 한다. 그런데 물살이 드센 강을 커다란 돌로 막는다는 것이 보통 어려운 일은 아니다.[효성이 지극한 마천목 장군이 어머니에게 고기를 잡아드리기 위해서 강가에 나갔다가, 푸른빛이 도는 돌을 주워온다. 그 돌이 도깨비 두목이었던 것이다. 도깨비들이 집으로 찾아와 두목을 돌려주면 무슨 소원이든 들어주겠다고 하자, 마천목장군은 어살을 막아달라고 했다. 그래서 도깨비들이 하룻밤사이에 어살을 막아주었는데, 섬진강에는 아직도 그 자취가 남아있다.]도깨비와 관련된 각종 자료와 전시품들이 박물관 수준 이상으로 일목요연하게 전시되어 있어 우리가 몰랐던 도깨비에 대한 상식들을 많이 알수 있다.",061-362-2954,전라남도 곡성군청 문화체육과,2023-08-01
"압록상상스쿨",관광지,전라남도 곡성군 오곡면 섬진강로 1060,전라남도 곡성군 오곡면 압록리 594,35.19580901,127.375484,1851,주차장+화장실+수유실,,,,,,2020-04-01,500,16,"압록상상스쿨은 (구)압록초등학교에 위치하고 있으며, 1층(798.83㎡)은 홍보 및 전시공간, 2층(806.33㎡)은 어린이 실내놀이터와 다목적 놀이 공간, 3층(308.69㎡)은 카페테리아, 소공연장, 전망대, 테라스 등으로 구성되어 섬진강 기차마을과 함께 새로운 놀이 문화공간으로 부상하고 있다.",061-362-2225,전라남도 곡성군청 관광과,2023-08-01
"압록유원지",관광지,전라남도 곡성군 죽곡면 섬진강로 1012,전라남도 곡성군 죽곡면 하한리 1039,35.19196269,127.3775123,85776,주차장+화장실+개수대,,,,,,2021-09-01,2000,50,"강을 통한 운송이 수송의 중요한 역할을 담당했던 시절, 두 강이 만나는 합수지점은 물산과 사람이 모이는 교통의 요지 구실을 했다. 섬진강과 대황강(보성강)이 합쳐지는 곡성 압록포구도 그런 곳이었다. 옛 사람들이 일컬은 곡성팔경중 압록의 귀범(歸帆)이라는 표현만 보더라도 그것을 알 수 있다.섬진강과 보성강이 합류한 기점인 이 곳은 3만여평의 드넓은 백사장이 펼쳐있는 한여름 피서지로 널리 알려진 자연유원지다. 여름에는 모기가 없어 가족단위 캠핑장소로 각광을 받고 있으며, 반월교와 철교가 나란히 강을 가로질러 놓여있어 운치가 뛰어나다. 특히, 보성강 하류의 유명 낚시터가 산재해 있어 강태공들에게는 인기가 높다. 강변에는 압록의 별미인 참게탕, 은어회, 매운탕을 맛볼 수 있는 향토음식점이 즐비해 있어 또다른 즐거움을 준다.또한 이곳 압록유원지에는 「모기전설」 이 전해 내려오고 있는데 「강감찬 장군이 어머니를 모시고 여행을 하다 이 곳 압록유원지에서 노숙을 하였는데 극성스런 모기 때문에 어머님이 잠을 청하지 못하자, 강감찬장군이 고함을 질러 모기의 입을 봉하였다.」고 한다. 그런 연유에서인지 아니면 섬진강의 시원한 강줄기 때문인지 다른 지역에 비해 여름에 모기가 별로 없다고 한다.",061-360-8431,전라남도 곡성군청 관광과,2023-08-01
"곡성기차당 뚝방마켓",관광지,전라남도 곡성군 곡성읍 곡성로 856,전라남도 곡성군 곡성읍 읍내리 208,35.27976851,127.2984376,3153,주차장+화장실,,,,,,2016-05-01,180,35,"곡성역 그리고 러브트레인이 설치된 곡성 기차마을 후문과 곡성읍 사이에는 곡성천으로 연결되어 있다. 깔끔하게 정비된 곡성천 제방위로 예쁜 길이 나있다.이길은 뚝방길이라 불리우며 곡성사람들의 산책로로 이용되고 있다.이 길을 알려 곡성섬진강기차마을과 곡성읍을 연결하자는 의미로 이곳에 플리마켓 즉 누구나 판매자가 되고 소비자가 될 수 있는 벼룩시장을 연 것이다. 2016년 5월에 곡성에서 열리는 세계 장미축제의 개최와 함께 최초로 문을 연 뚝방마켓회를 거듭할수록 곡성 주민 뿐만 아니라, 인근 지역에서 일부러 뚝방마켓을 구경하러 찾아올 정도로 인기를 끌고 있다. 그리고 뚝방길을 알리는 효과를 넘어서 이제는 곡성을 대표하는 문화 현상으로 자리 잡았다.",061-362-2753,전라남도 곡성군청 인구정책과,2023-08-01
"가정역(섬진강출렁다리)",관광지,전라남도 곡성군 오곡면 섬진강로 1465,전라남도 곡성군 오곡면 송정리 55-4,35.23018353,127.3682034,2673,주차장,,,,,,2005-03-01,100,210,"가정역은 기차마을을 떠나 13km를 달려온 증기기관차와 침곡 약을 출발하여 5.2km를 굴러온 레일바이크의 종착역이다.원래 전라선 철로에는 없었던 역인데 증기기관차 운행과 함께 순수한 관광 목적으로 지어졌다. 통나무집을 연상케 하는 가정역의 외관은 마치 알프스 산악 기차역 같은 모습을 하고 있어 관광객들의 눈길을 끈다.섬진강 출렁다리는 국내 보도 현수교 중 가장 긴, 길이 200m, 폭 3m의 규모라 한다. 주 케이블에 보조 케이블을 매달아 보도 강판을 지탱하는 보강 거더(girder)에 연결했다. 따라서 바람에 흔들리거나 많은 사람들이 건너게 되면 출렁거리도록 제작되었다.증기기관차로 가정역에 도착하면 출발시간까지 30 남짓 여유시간이 주어진다. 이곳에 머무는 이들을 ’추억과 향수’에 젖어들게 하기엔 충분한 시간이다.가정역이 ’아름다운 역’으로 기억될 수 있는 것은 지척에 우리나라 사람들에게 고향의 강으로 여겨지는 섬진강이 흐르고 있어서다. 가정역에 내린 승객들은 강을 가로지르는 출렁다리를 건너가서 자연스럽게 섬진강을 만난다.그리고 강변을 산책하면서 더 가까이서 섬진강 풍경을 감상하게 된다. 따라서 이곳을 처음 찾는 이들에게 가정역은 섬진강과 동의어로 여겨진다. 강을 건너올 때는 사람만 다닐 수 있는 출렁다리를 이용하지만, 다시 가정역으로 건너갈 때는 대개, 아래쪽에 설치된, 사람과 차량이 함께 통행할 수 있는 두계 세월교를 이용한다. 이 다리는 강물이 불으면 물속에 잠기게 되는 잠수교다. 가정역에서 기다리고 있는 증기기관차가 긴 기적소리를 울리면 출발시간이 임박했음을 알리는 신호다.",061-363-6174,전라남도 곡성군청 관광과,2023-08-01
