"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"유당공원",관광지,전라남도 광양시 광양읍 백운로 14,전라남도 광양시 광양읍 목성리 673-1,34.97010442,127.5924243,10029,주차장,,,,,,1979-12-03,10000,1000,1528년 광양현감 박세후 조성,061-797-4979,광양시청 공원녹지과,2022-10-24
"서천무지개분수대",관광지,,전라남도 광양시 광양읍 칠성리 729,34.9735109,127.5756854,10029,주차장+화장실,,,,,,1979-12-03,10000,1000,음악분수 퍼포먼스 공연,061-797-4979,광양시청 공원녹지과,2022-10-24
"장도전수관",관광지,전라남도 광양시 광양읍 매천로 771,전라남도 광양시 광양읍 칠성리 1009-3,34.97705608,127.5805515,1590.8,화장실+주차장+기념품판매소,,,,,,2001-06-30,10000,1000,"장도 선비·부녀자 사용, 중요무형문화재 60호 장도장",061-763-0510,광양 장도박물관,2022-10-24
"도립미술관",관광지,전라남도 광양시 순광로 680-4,전라남도 광양시 광양읍 인동리 227-1,34.96887104,127.5903033,9464,화장실+주차장+기념품판매소,,,미술관+전시관,카페테리아,관리사무소,2017-07-07,10000,1000,2017년 말 착공 예정,061-797-2227,광양시청 문화예술과,2022-10-24
"광양와인동굴",관광지,전라남도 광양시 광양읍 강정길 33,전라남도 광양시 광양읍 용강리 48-1,34.96130264,127.6085909,10029,화장실+주차장+기념품판매소+특산품판매소+매표소,,,해당없음,카페테리아,관리사무소,2017-07-07,10000,1000,"바닥 트릭아트, 세계 와인 전시, 와인 카페테리아, 오브젝트 맴핑, VR체험관 등",061-794-7788,광양 와인동굴,2022-10-24
"광양역사문화관",관광지,전라남도 광양시 광양읍 매천로 829,전라남도 광양시 광양읍 읍내리 272-1,34.9757671,127.5859802,2447,주차장+화장실,,,전시관,,관리사무소,1942-08-25,10000,1000,"광양의 역사, 문화, 인물 자료 전시·설명",061-797-1985,광양시청 문화예술과,2022-10-24
"사라실 라벤더 단지",관광지,,전라남도 광양시 주암면 문길리 산 20-2,35.04162939,127.270748,23792,화장실+주차장+기념품판매소+매표소,,,,레스토랑+카페테리아,관리사무소,2005-05-15,10000,1000,"라벤더마을, 라벤더 체험장",061-762-0723,사라실라벤터 영농조합법인,2022-10-24
"사라실 예술촌",관광지,전라남도 광양시 사곡로 201,전라남도 광양시 사곡리 1005,34.962211,127.626222,14000,주차장+화장실,,,,,,1979-12-03,10000,1000,광양 사라실 예술촌,061-797-2734,광양시청 문화예술과,2022-10-24
"광양 마로산성",관광지,,전라남도 광양시 사곡리 산 254,34.966742,127.619496,10029,주차장+화장실,,,,,,1979-12-03,10000,1000,국가지정문화재 사적 제492호,061-797-2418,광양시청 문화예술과,2022-10-24
"광양 궁시장",관광지,,전라남도 광양시 광양읍 구산리 716,34.98778794,127.5865036,1377,"화장실,+궁시체험장",,,,,,1979-12-03,10000,1000,도지정무형문화재 제12호,061-763-1154,광양궁시전수교육관,2022-10-24
