"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"노고단",관광지,,전라남도 구례군 토지면 문수리 산 17,35.2362904500,127.5547985930,3500000,화장실+주차장+상하수도시설,,,,,,1967-12-29,1870,200,"천왕봉, 반야봉과 함께 지리산 3대 주봉으로 꼽힌다.",061-780-7700,지리산국립공원공단 전남사무소,2023-07-18
"지리산정원",관광지,전라남도 구례군 광의면 온동2길 124,전라남도 구례군 광의면 온당리 산164,35.2872264338,127.4388392322,300000,화장실+주차장,,,,,,2017-10-23,300,50,"사계절 다양한 식생을 관찰할 수 있는 야생화테마랜드와 자생식물원,생태숲, 자연휴양림, 수목원이 있으며, 자연속 힐링공간인 숲속수목가옥은 인기가 높다.",061-780-8026,전라남도 구례군,2023-07-18
"지리산호수공원",관광지,,전라남도 구례군 산동면 이평리 산31-6,35.2791240790,127.4245674082,400000,화장실+주차장,,,,,,1963-01-01,200,30,지리산 호수공원은 구만 저수지를 새롭게 단장한 곳으로 오토캠핑과 수상레저 스포츠를 즐길 수 있다.,061-780-2564,전라남도 구례군,2023-07-18
"섬진강대숲길",관광지,,전라남도 구례군 구례읍 원방리 1,35.1863378055,127.4652530573,38000,화장실+주차장,,,,,,2015-09-21,100,50,섬진강변 대숲길은 강 풍경과 어우러져 마음을 평온하게 한다.,061-780-2390,전라남도 구례군,2023-07-18
"수락폭포",관광지,,전라남도 구례군 산동면 수기리 629,35.3447641829,127.4576140865,42000,화장실+주차장,,,,,,1963-01-01,100,20,높이 15m의 폭포로 기암괴석 사이로 폭 포수가 쏟아지고 주변 경치가 뛰어나 구례 10경으로 손꼽힌다.,061-780-2543,전라남도 구례군,2023-07-18
"화엄사",관광지,전라남도 구례군 마산면 화엄사로 239,전라남도 구례군 마산면 황전리 12,35.2573160233,127.4977197325,72000,화장실+주차장+상하수도시설+관광안내소,,,,,,1967-12-29,500,100,대한 불교조계종 제 19교구 본사인 화엄사는 사적 제 505호로 지정(2009년) 되어있다.,061-783-7600,대한불교조계종,2023-07-18
"천은사",관광지,전라남도 구례군 광의면 노고단로 209,전라남도 구례군 광의면 방광리 70,35.2730927149,127.476325,59000,화장실+주차장+상하수도시설+관광안내소,,,,,,1967-12-29,300,100,신라 흥덕왕 3년(828년)에 덕운선사가 창건하였다고 전해지며 경내에 이슬처럼 맑고 찬 샘이 있어 처음에는 절 이름을 감로사(甘露寺)라 하였다.,061-781-4800,대한불교조계종,2023-07-18
"사성암",관광지,전라남도 구례군 문척면 사성암길 303,전라남도 구례군 문척면 죽마리 산7-1,35.1801282768,127.480644,17000,화장실+주차장+상하수도시설,,,,,,1963-01-01,100,20,2014년 명승 제111호로 지정된 사성암은 해발 531m의 오산 정상에 위치해 있다.,061-781-4544,대한불교조계종,2023-07-18
"운조루",관광지,전라남도 구례군 토지면 운조루길 59,전라남도 구례군 토지면 오미리 103,35.2059449812,127.5152885522,4700,화장실+주차장,,,,,,1963-01-01,50,20,운조루는 조선 영조 52년(1776년) 당시 삼수 부사를 지낸 류이주가 99칸(현 존 73칸)으로 지은품자형의 대규모 저택으로 조선 후기 건축양식을 따르고 있다.,061-782-2432,민간,2023-07-18
"한국압화박물관",관광지,전라남도 구례군 구례읍 동산1길 29,전라남도 구례군 봉서리 894-2,35.1966499792,127.4599106331,1400,화장실+주차장+상하수도시설,,,,,,2016-05-26,50,10,대한민국 압화대전의 대통령상 수상작 등 국내외 작가들의 작품 600여 점이 전시 되어 있다.,061-780-2082,전라남도 구례군,2023-07-18
"지리산역사문화관",관광지,전라남도 구례군 마산면 화엄사로 377-36,전라남도 구례군 마산면 황전리 605,35.2440852426,127.4837598741,38000,화장실+주차장+상하수도시설,,,,,,2019-04-15,100,30,"지리산권의 다양한 역사, 문화자원이 전시된 곳으로,강따라(기획전시), 산따라(상설전시), 길따라(체험전시) 등 총 3개관으로 구성되어 있다.",061-780-8040,전라남도 구례군,2023-07-18
"섬진강어류생태관",관광지,전라남도 구례군 간전면 간전중앙로 47,전라남도 구례군 간전면 양천리 815-12,35.1874522352,127.5465226180,25000,"화장실, 주차장, 상하수도시설",,,,,,2008-03-02,100,50,"섬진강 민물고기 자원에 대한 체계적인 보전과 생태전시를 위한 전시관이다.강따라(기획전시), 산따라(상설전시), 길따라(체험전시) 등 총 3개관으로 구성되어 있다.",0507-1330-3665,전라남도,2023-07-18
