"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"불회사",관광지,전라남도 나주시 다도면 다도로 1224-142,전라남도 나주시 다도면 마산리 999,34.90877918,126.8234812,300000,화장실,템플스테이,,템플스테이+체험프로그램,안내소,홈페이지 운영,1968-12-12,500,20,사찰,061-337-3440,불회사,2022-11-30
"금성관",관광지,전라남도 나주시 금성관길 8,전라남도 나주시 과원동 109-5,35.03335643,126.7165553,62441,화장실,,,문화관광해설사,,,1972-01-29,1000,100,시도유형문화재,061-339-8615,전라남도 나주시청,2022-11-30
"도래마을(홍기옥 가옥)",관광지,전라남도 나주시 다도면 동력길 16,전라남도 나주시 다도면 풍산리 199,34.9981825,126.8223995,54000,화장실,민박,,산책로,안내소,홈페이지 운영,1984-01-10,200,30,중요민속문화재,061-336-3675,전라남도 나주시청,2022-11-30
"정수루",관광지,전라남도 나주시 금성관길 13-20,전라남도 나주시 금계동 33-18,35.03193288,126.7150148,200,N,,,정수루,,,1984-02-29,30,100,전라남도문화재자료,061-330-8114,전라남도 나주시청,2022-11-30
"나주향교",관광지,전라남도 나주시 향교길 38,전라남도 나주시 교동 32-3,35.03403137,126.711466,11105,화장실,,,체험프로그램,충효관,,1985-02-25,500,15,시도유형문화재,061-334-2369,나주향교,2022-11-30
"완사천",관광지,전라남도 나주시 완사천길 14,전라남도 나주시 송월동 1096-13,35.01496092,126.7128194,12000,화장실,,,산책로,,,1986-02-17,500,500,시도기념물,061-339-8615,전라남도 나주시청,2022-11-30
"목사내아",관광지,전라남도 나주시 금성관길 13-8,전라남도 나주시 금계동 33-31,35.0320205,126.7151642,1300,화장실,한옥체험,,숙박실,,홈페이지 운영,1986-09-29,20,100,전라남도문화재자료,061-332-6565,전라남도 나주시청,2022-11-30
"영모정",관광지,전라남도 나주시 다시면 회진길 14-8,전라남도 나주시 다시면 회진리 101,34.9973737,126.6671219,8000,화장실,,,영모정,관리실,,1987-06-01,100,5,시도기념물,061-339-8615,영모정,2022-11-30
"남고문",관광지,,전라남도 나주시 남내동 2-20,35.0295791,126.7204701,640,N,,,문화관광해설사,,,1990-10-31,0,200,사적,061-330-7823,전라남도 나주시청,2022-11-30
"구)나주역",관광지,전라남도 나주시 죽림길 26,전라남도 나주시 죽림동 60-172,35.0280742,126.7262445,450,N,,,구)나주역,,,2000-12-29,50,16,전라남도기념물,061-330-7823,전라남도 나주시청,2022-11-30
"노안천주교회",관광지,전라남도 나주시 노안면 이슬촌길 108,전라남도 나주시 노안면 양천리 780,35.10432714,126.6754469,500,화장실,,,노안천주교회,예배당,,2002-09-13,200,10,등록문화재,061-336-8900,노안천주교회,2022-11-30
"나주시천연염색박물관",관광지,전라남도 나주시 다시면 백호로 379,전라남도 나주시 다시면 회진리 163,34.99403168,126.6625254,3337,화장실,,,체험관,전시관,홈페이지 운영,2006-09-15,300,80,박물관,061-335-0091,전라남도 나주시청,2022-11-30
"나주목문화관",관광지,전라남도 나주시 금성관길 15,전라남도 나주시 금계동 13-2,35.03232804,126.7157031,1500,화장실,,,전시관,전시관,,2006-10-19,50,100,박물관,061-332-5432,전라남도 나주시청,2022-11-30
"중흥골드스파&리조트",관광지,전라남도 나주시 다도면 나주호로 558-314,전라남도 나주시 다도면 방산리 1449-4,34.94833414,126.8714774,100000,화장실,콘도+펜션,수상레포츠,수영장+스파,회의실,홈페이지 운영,2007-06-15,0,3000,유원지,061-339-5000,중흥,2022-11-30
"나주영상테마파크",관광지,전라남도 나주시 공산면 덕음로 450,전라남도 나주시 공산면 신곡리 산2,34.97948996,126.5997029,140116,화장실,,"체험시설(민속놀이, 도자기등)",관람시설,매표소+관리동,홈페이지 운영,2007-08-03,1000,800,테마공원,061-335-7008,전라남도 나주시청,2022-11-30
"남파고택",관광지,전라남도 나주시 금성길 13,전라남도 나주시 남내동 95-25,35.03051267,126.7184493,2960,화장실,,,체험프로그램+전시,전시관,,2009-12-17,500,20,중요민속자료,061-332-6100,개인소유,2022-11-30
"반남고분군",관광지,전라남도 나주시 반남면 고분로 756,전라남도 나주시 반남면 신촌리 249-2,34.91475649,126.6613546,121397,화장실,,,문화관광해설사,안내소,,2011-07-28,1000,100,사적,061-336-1151,전라남도 나주시청,2022-11-30
"백호문학관",관광지,전라남도 나주시 다시면 회진길 8,전라남도 나주시 다시면 회진리 103,34.99694703,126.6668094,387,화장실,,,체험프로그램+전시,문화사랑방,홈페이지 운영,2013-04-13,50,20,박물관,061-335-5008,전라남도 나주시청,2022-11-30
"국립나주박물관",관광지,전라남도 나주시 반남면 고분로 747,전라남도 나주시 반남면 신촌리 152-25,34.91485383,126.6589014,11086,"화장실, 회의실",,,전시관,접객실,홈페이지 운영,2013-11-22,1000,200,박물관,061-330-7885,문화체육관광부,2022-11-30
"영산포 역사갤러리",관광지,전라남도 나주시 영산3길 17,전라남도 나주시 영산동 247-2,35.00072134,126.7115039,281,화장실,,,갤러리 전시,전시관,홈페이지 운영,2015-10-15,30,0,박물관,061-331-1755,전라남도 나주시청,2022-11-30
"나주복암리고분전시관",관광지,전라남도 나주시 다시면 백호로 287,전라남도 나주시 다시면 복암리 71,34.99608962,126.6570592,42211,화장실,,야외공원,영상체험관,카페+전시관,홈페이지 운영,2016-04-30,650,56,박물관,061-337-0090,전라남도 나주시청,2022-11-30
"일본인근대가옥",관광지,전라남도 나주시 예향로 3869-4,전라남도 나주시 영산동 660,34.99946578,126.7131249,226,화장실,,,복지프로그램,가옥내 접객실,홈페이지 운영,2016-06-10,10,2,근대가옥,061-334-7726,전라남도 나주시청,2022-11-30
"빛가람호수공원전망대",관광지,전라남도 나주시 호수로 77,전라남도 나주시 빛가람동 산4-321,35.01683337,126.7904361,24000,화장실,,돌미끄럼틀+모노레일,전망대+갤러리,카페+전시관,,2016-07-08,1000,104,공원,061-333-1501,전라남도 나주시청,2022-11-30
