"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"목포근대역사관 1관 (구, 일본영사관)",관광지,전라남도 목포시 영산로 29번길 6,전라남도 목포시 대의동2가 1-5,34.78769578,126.3817942,6575.2,화장실,,방공호체험+XR체험존,박물관,,,2014-03-01,100,0,"목포 최초의 서구적 근대 건축물로 건립당시의 내·외관을 거의 그대로 유지하고 있으며 목포 개항 이후 1900년 12월 일본영사관으로 지어져 광복 이후 목포시청, 시립도서관, 문화원으로 사용하다가 현재는 목포 근대역사관 1관으로 운영중에 있다",061-242-0340,전라남도 목포시청,2023-07-13
"목포근대역사관 2관 (구,동양척식주식회사)",관광지,전라남도 목포시 번화로 18,전라남도 목포시 중앙동2가 6,34.78596374,126.3814912,1448,화장실+주차장+여행자쉼터,,,박물관,,,2006-07-20,100,30,구 동양척식주식회사 목포지점이었던 근대역사관2관은 1920년 6월에 건립된 일제시대 건축물로 1999년 11월 20일 전라남도 기념물 제174호로 지정.동양척식주식회사 건물 복원기념으로 사진이 전시되고 있다 2층건물에는 주요 근대역사자료와 관련한 상설전시중이다.,061-270-8728,전라남도 목포시청,2023-07-13
"성옥기념관",관광지,전라남도 목포시 영산로 11,전라남도 목포시 유달동 4-2,34.78698576,126.3798645,1723,화장실+주차장+라운지,,,,,,2004-06-01,200,10,"조선내화(주)창업자인 성옥 이훈동 선생의 미수를 기리기 위해 자녀들이 건립한 문화공간으로 선생이 수집한 근 · 현대 작품, 다양한 고미술작품과 도자기 등을 감상 할 수 있다.",061-244-2527,전라남도 목포시청,2023-07-13
"구 동본원사 목포별원",관광지,전라남도 목포시 영산로 75번길 5,전라남도 목포시 무안동 2-4,34.78970032,126.3842863,340,주차장,,,,,,2007-07-03,150,45,동본원사는 목포에 들어선 일본 첫 불교사원으로 정식명칭은 ‘진종 대곡파 동본원사’이다. 동본원사 목포별원은 1898년 4월에 세워졌으며 목포심상고등학교 설립 인가를 받아 목포 내에서 일본인 소학교로 최초·정식 운영되기도 했다. 해방 이후 정광사의 관리를 받다가 1957년부터 목포중앙교회로 사용하게 되어 사찰이 교회가 되는 이색적인 약력을 가지게 되었다. 현재는 각종 문화행사 및 전시회 공간으로 활용되고 있다.,061-245-8832,전라남도 목포시청,2023-07-13
"유달산",관광지,전라남도 목포시 유달로 180,전라남도 목포시 죽교동 300,34.79142993,126.3759183,116813,화장실+주차장+관광안내소,,,특정자생식물원+봉후샘쉼터+옛수원지 암벽폭포+조각공원,매점,,1982-01-01,100000,2000,노령산맥의 맨 마지막 봉우리이자 다도해로 이어지는서남단의 땅 끝인 산 해발 228미터 기암괴석으로 이루어진 유달산은 노령산맥의 맨 마지막 봉우리이다. 정상에 올라 서면 목포 시내가 한눈에 내려다보이며 푸른 다도해의 경관이 시원스레 펼쳐져 있고 그 사이를 오고가는 크고 작은 선박들의 모습이 한폭의 동양화를 연상시킨다.,061-270-8359,전라남도 목포시청,2023-07-13
"서산동 시화골목",관광지,전라남도 목포시 해안로 127번길 14-2,전라남도 목포시 서산동 12-89,34.78174519,126.3773176,8420,화장실+주차장+여행자쉼터,,,,여행자쉼터,,2016-07-28,250,40,지역의 시인과 화가 그리고 주민들이 참여하여 생활적인 시와 벽화를 구성해 놓은 곳이다.개발되지 않은 1970 ~ 80 년대 해안가 마을의 골목길을 보존해 당시의 생활적 정서를 엿볼 수 있는 대표적인 레트로 공간이다. 초입에 1987의 촬영지 연희네 슈퍼가 있어 조화를 이루고 있다,061-270-8598,전라남도 목포시청,2023-07-13
"연희네슈퍼(영화 1987 촬영지)",관광지,전라남도 목포시 해안로 127번길 14-2,전라남도 목포시 서산동 12-89,34.78174519,126.3773176,62.2,화장실+주차장+여행자쉼터,,의상체험+셀프시잔관+화가의집,,여행자쉼터,,2018-02-12,100,40,영화 1987의 주인공 연희가 살던 곳이곳의 시간은 1987년이다. 개발되지 않은 배경에 1987년을 그대로 옮겨놓은 연희네 슈퍼는 단순한 영화세트장이 아니다. 각자의 1987년을 떠올릴 수 있는 공간이다. 문득 시간을 돌아보고 싶거든 연희네 슈퍼로 가자. 그곳에 나의 1987년이 있고 나의 연희가 있다.,061-270-8598,전라남도 목포시청,2023-07-13
"춤추는 바다분수",관광지,전라남도 목포시 평화로 82,전라남도 목포시 상동 1157,34.79666213,126.4337909,4210,화장실+주차장+관광안내소,,레이저쇼+워터스크린+사연이벤트,,,,2010-07-30,4500,80,"목포춤추는바다분수는 매년 4월부터 11월까지 8개월간 목포 평화광장 앞바다에서 음악과 분수, 워터스크린, 레이저, 빔프로 젝트를 이용한 미디어 아트 작품을 선보이고 있다. 목포춤추는바다분수는 수반길이 150m, 높이 13.5m, 최대분사 높이 70m의 세계최초 초대형 부유식 바다음악분수이다.이에 더해 2021년 10월부터는 바다분수 앞에 설치한 해상무대에서 불꽃과 바다분수가 어우러진 환상적인 해상공연을 펼칠 예정이다.",061-270-8580,전라남도 목포시청,2023-07-13
"목포해상케이블카",관광지,전라남도 목포시 해양대학로 240,전라남도 목포시 죽교동 516-101,34.79940179,126.3700239,19079,화장실+주차장+매표소+관광안내소+기념품판매점+푸드코트,,VR체험관,안전홍보관,카페테리아+휴게실,,2019-09-06,2500,848,"155m의 높이에서 스릴넘치는 아찔한 체험을...국내 최장구간 3.23km의 해상케이블카로 북항에서 고하도까지 이어진다.목포항과 삼학도를 비롯한 목포 원도심이 한눈에 펼쳐지고 보석처럼 빛나는 다도해와목포대교, 고하도 등을 조망할 수 있다.",061-244-2600,전라남도 목포시청,2023-07-13
"삼학도크루즈",관광지,전라남도 목포시 삼학로 92번길 104,전라남도 목포시 산정동 1454-7,34.78101571,126.387931,15455,화장실+주차장+매표소+휴게실,,공연장+전망대+카페테리아+라운지,관광유람선,카페테리아,,2020-06-12,578,100,"삼학도 계류장을 출발하여 해상케이블카타워, 인어동상, 목포대교로 간다.잔잔한 목포 앞바다를 배를 타고 노니는것은 또 다른 경험이다. 오른쪽으로 높이오른 유달산과 목포대교의 일몰, 끝없이펼쳐진 다도해 그리고 고하도의 해안을감상할 수 있다.",061-245-3222,전라남도 목포시청,2023-07-13
"김대중노벨평화상기념관",관광지,전라남도 목포시 삼학로 92번길 68,전라남도 목포시 산정동 1481,34.78285177,126.3922506,4730,화장실+주차장+기념품판매점,,,박물관,카페테리아,,2013-06-15,200,10,"김대중 前대통령의 업적 및 걸어온 길을 살펴볼 수 있는 곳이다. 평화의 메시지 보내기, 노르웨이 오슬로 시상식장 체험, 노벨평화상 단상 포토존 및 대통령 집무실을 그대로 옮겨놓은 집무실 체험공간에서 대통령이 되어보는 체험을 할 수 있다",061-245-5660,전라남도 목포시청,2023-07-13
