"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"순천만국가정원",관광지,전라남도 순천시 국가정원1호길 47,전라남도 순천시 오천동 600,34.92888588,127.4999591,926992,ATM+ 의료센터+ 체험학습센터+ 공중전화+ 물품대여소+ 물품보관소+ 분실물보관소+ 종합안내소+ 매표소+ 수유실+ 어린이보호소+ 노약자/장애인 보호소+ 대형버스기사쉼터,해당없음,관람차+스카이큐브+야생동물원+세계의상체험장+수상자전거체험+이미지유화체험,갯벌공연장+갯지렁이갤러리+갯지렁이도서관+한방체험센터,매점+식당+카페+기념품점,소회의실+컨퍼런스홀+입체영상관+,2015-09-05,130000,3530,대한민국 생태도시 순천은 세계 5대 연안습지인 순천만습지의항구적인 보전을 위해 정원을 조성하고 2013순천만국제정원박람회를 개최하였다. 그 이후 제1호 국가정원으로 지정됨으로써 순천만국가정원은 대한민국 정원문화산업의 메카로 자리매김하게 되었다.,061-749-2749,전라남도 순천시청 국가정원운영과,2023-07-26
"순천만습지",관광지,전라남도 순천시 순천만길 513-25(대대동),전라남도 순천시 대대동 162-2,34.88579701,127.5092833,3015859,순천만쉼터+ 공예·특산품관+ 안내소+유모차대여+양산대여,,용산전망대+순천만갈대밭,순천문학관+체험선+순천만역사관+자연생태관,,,2008-06-16,1000,600,"75㎢가 넘는 해수역, 22.6㎢의 갯벌면적, 5.4㎢에 달하는 거대한 갈대군락과 겨울이면 흑두루미, 재두루미, 노랑부리저어새, 큰고니, 검은머리물떼새 등 순천만에서 발견되는 철새는 총 230여종으로 우리나라 전체 조류의 절반가량이나 되며 2003년 습지 보호지역, 2006년 람사르협약 등록, 2008년 국가지정문화재 명승 제41호로 지정된 순천만은 농게, 칠게, 짱뚱어 등과 같은 갯벌 생물들이 한데 어우러져 살아가고 있음.",061-749-6052,전라남도 순천시청 순천만보전과,2023-07-26
"낙안읍성",관광지,전라남도 순천시 낙안면 충민길 30(동내리),전라남도 순천시 낙안면 동내리 438-1,34.90640107,127.3418227,223108,주차장+ 화장실+ 음수대+ 매표소+ 관광안내소+ 전시가옥+ 체험장+ 자료관+ 교통통제소,개인 민박(36개소),,,식당(난전1~4호점)+ 매점,,1983-06-14,30000,565,"조선시대 상징적 계획도시인 읍성으로 주민이 실재 거주하는 대한민국 대표 민속마을-사적 제302호(1983.6.14.), 세계문화유산 잠정목록에 등재(2011.3.29.)",061-749-8840,전라남도 순천시청 낙안읍성지원사업소,2023-07-26
"드라마촬영장",관광지,전라남도 순천시 비례골길 24(조례동),전라남도 순천시 조례동 22,34.95810919,127.5378026,40463,주차장+화장실+음수대+매표소+관광안내소+전시가옥+체험장+자료관+수유실+여행자쉼터,해당없음,추억음악실+청춘사진관+뽑기방+오락실,순양극장+언약의집+시간여행영화속으로+여행자쉼터,매점+장터,해당없음,2006-11-02,10000,170,2006년 개장한 순천드라마촬영장은 1960~80년대 시대별 3개 마을(185여채)이 조성되어 있으며 7080 복고 체험 프로그램을 구성하여 관광객이 지속적으로 증가하고 있는 추세임,061-749-4540,전라남도 순천시청 관광과,2023-07-26
"뿌리깊은나무박물관",관광지,전라남도 순천시 낙안면 평촌3길 45,전라남도 순천시 낙안면 남내리 219,34.9036464,127.3399827,1736,박물관 쉼터+ 물품보관소+ 매표소+ 안내데스크,해당없음,해당없음,해당없음,해당없음,해당없음,2011-11-21,300,40,"2011년에 개관한 뿌리깊은나무박물관은 잡지뿌리깊은나무 창간자 故한창기 선생이 생전에 모은 6,500여점의 유물이 전시·보존 되어 있는곳입니다.",061-749-8858,전라남도 순천시청 문화유산과,2023-07-26
"송광사",관광지,전라남도 순천시 송광면 송광사안길 100,전라남도 순천시 송광면 신평리 12,35.00236255,127.2748706,44297,쉼터,,,,,,2009-12-21,200,300,유구한 역사를 품은 힐링 사찰,061-755-0107,전라남도 순천시청 송광면,2023-07-26
"선암사",관광지,전라남도 순천시 승주읍 선암사길 450,전라남도 순천시 승주읍 죽학리 802,34.99618213,127.327356,10000,화장실+ 매표소+ 주차장+ 종무소(안내소)+ 기념품판매소(선각당+ 금강서적),심검당+ 창파당+ 설선당+ 해천당,해당없음,불교대학+ 템플스테이,공양간+ 선각당(찻집),없음,2018-06-30,2000,330,선암사는 호남의 명산 조계산(884M)에 자리잡은 한국적인 절의 옛 모습을  가장 잘 보존한 천년의 고찰로 2018년 유네스코 세계문화유산에 등재된 국내의 명찰 가운데 하나,061-754-5247,전라남도 순천시청 승주읍,2023-07-26
"에코촌유스호스텔",관광지,전라남도 순천시 해룡면 생태배움길 123,전라남도 순천시 해룡면 대안리 1055-9,34.92310938,127.5164423,1866,화장실,숙박시설 20개,씨름장,,,에코관+ 생태관+ 식당+ 자가취사장,2013-04-17,150,45,"세계5대 연안습지 순천만, 2013년 440만이 감동한 순천마 정원의 인근에 자리잡은 전국 최초 전통 한옥형 유스호스텔.",061-749-4816,전라남도 순천시청 관광과,2023-07-26
"순천자연휴양림",관광지,전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시 서면 운평리 산160,35.04388083,127.4744949,900000,화장실+ 취사장+ 샤워장,객실 29실+ 캐빈하우스 6동+ 야영장 19면,,숲속치유의집+ 유아숲체험원,,관리사무소,2011-04-09,257,80,2011년 개장한 순천자연휴양림은 피톤치드가 풍부한 침엽수림으로 산책로가 길지않고 대부분이 평지여서 남녀노소 누구나 힐링할수 있는곳임,061-749-8948,전라남도 순천시청 산림과,2023-07-26
"기독교역사박물관",관광지,전라남도 순천시 매산길 61(매곡동),전라남도 순천시 매곡동 179-10,34.96043473,127.4801207,1447,작은 도서관+ 안내데스크,해당없음,해당없음,해당없음,해당없음,해당없음,2012-11-20,100,4,호남기독교 100년의 역사를 품은 순천시 기독교역사박물관은 한국 기독교 선교의 역사를 다양한 유물과 영상을 통해 알기 쉽게 전달하는 공립박물관입니다.,061-749-8858,전라남도 순천시청 문화유산과,2023-07-26
