"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"완도타워",관광지,전라남도 완도군 완도읍 장보고대로 330,,34.3144383875,126.7632669582,52810,화장실+주차장+관광안내소,,,,,,2008-09-11,1000,100,완도타워는 첨탑까지 76m이며 지상2층과 전망층으로 구성되어 있다. 다도해의 아름다운 풍경을 조망할 수 잇으며 완도타워 외부에는 경관조명이 설치되어 있어 야간에는 환상적인 야경과 레이저쇼를 감상할 수 있다.,061-550-6961,완도군청 지역개발과,2020-08-12
"장도청해진유적지",관광지,전라남도 완도군 완도읍 장좌리 809,,34.358569,126.736372,482884,화장실+주차장+관광안내소,,,,,,1984-09-01,1000,100,"해상왕 장보고 대사가 828년 청해진을 설치하고 중구과 신라, 일본을 잇는 삼각 무역을 펼쳤던 우리나라 최초의 무역전진기지이자 군사 요충지이다. 사적 제308호이다.",061-550-6945,완도군청 문화예술과,2020-08-12
"장보고기념관",관광지,전라남도 완도군 완도읍 청해진로 1455,,34.355097,126.730164,14472,화장실+주차장+관광안내소,,,,,,2002-10-25,1000,100,장보고대사의 도전정신과 기상을 엿볼 수 있는 다양한 자료와 유물이 전시되어 있다. 특히 전시실은 보고 듣고 만지는 체험형 입체 관람 시스템을 갖추고 있어 흥미로운 관람이 가능하다.,061-550-6945,완도군청 문화예술과,2020-08-12
"해양생태전시관",관광지,전라남도 완도군 완도읍 청해진로 1459,,34.351532,126.731489,1305,화장실+주차장+관광안내소,,,,,,2018-08-08,1000,100,"기존 장보고기념관, 장도 등 청해진 유적지의 기존 문화·관광 시설과 연계하여 방문하는 관광객과 주민들에게 볼거리, 체험거리 제공 및 해양생태에 대한 교육의 장을 마련하고 해양치유 산업의 중요성을 제공하는데 그 의의가 있다. 1층과 2층으로 나뉘어 각 실마다 저마다의 주제를 가지고 완도의 역사, 생태계 현황, 다양한 해양 체험활동 등을 학습하고 경험할 수 있다.",061-550-6941,완도군청 해양정책과,2020-08-12
"완도수목원",관광지,전라남도 완도군 군외면 초평1길 156,,34.3606525817,126.6635320533,2050,화장실+주차장+관광안내소,,,,,,1998-09-01,1000,100,"국내 유일의 난대수목원'으로 3,801종의 수목유전자원을 보유하고 있다. 난대성 목,초본 등 희귀식물 770여종이 자생하고 있는데 아열대,온대 교차지의 다양한 식물이 분포하여 학술적 가치가 높은 수목원이다.",061-552-1544,전라남도산림자원연구소,2020-08-12
"청해포구촬영장",관광단지,전라남도 완도군 완도읍 청해진서로 1161-8,,34.3229355514,126.6705189144,16400,화장실+주차장+관광안내소,,,,,,2004-01-01,1000,100,장보고대사를 소재로 한 최인호의 역사소설 '해신'을 원작으로 한 KBS 특별 드라마 '해신'의 촬영부대이다.,061-555-4500,완도청해포구촬영장,2020-08-12
"어촌민속전시관",관광지,전라남도 완도군 완도읍 화흥포길 149,,34.307331,126.688559,11084,화장실+주차장+관광안내소,,,,,,1997-12-01,1000,100,"어촌의 생활사, 어획방법, 수산양식의 실태, 선박의 발달사 등 사진자료와 함께 전시하고있다.",061-550-6914,완도군청 해양정책과,2020-08-12
"슬로시티청산도",관광지,전남 완도군 청산면 당락리 654,,34.172237,126.861394,3328000,화장실+주차장+관광안내소,,,,,,2007-01-01,1000,100,"2007년 아시아 최초 슬로시티로 지정되었으며 영화 '서편제'와 드라마 '봄의왈츠'가 촬영된 곳으로 푸른바다, 푸른산, 구들장논, 돌담길 등 느림의 풍경이 가득한 곳이다.",061-550-6490,완도군 청산면사무소,2020-08-12
"보길윤선도원림",관광지,전라남도 완도군 보길면 부황길 57,,34.1624789917,126.5559442013,480728,화장실+주차장+관광안내소,,,,,,2008-01-08,1000,100,"고산 윤선도가 직접 조성한 곳으로 특히, 세연정은 조선시대 대표적인 별서정원으로 우리나라 3대 정원중 하나다. 조선시대 가사문학의 백미 '어부사시사'가 이곳에서 창작되었다.",061-550-6637,완도군청 문화예술과,2020-08-12
"신지명사십리해수욕장",관광지,전라남도 완도군 신지면 명사십리길 85-105,,34.327329,126.8088596961,570000,화장실+주차장+관광안내소,,,,,,2000-01-01,1000,100,"모래 우는 소리가 십리 밖까지 들린다고 하여 울모래 또는 명사십리로 불리우며, 2019년 우리나라 최초로 블루플래그(친환경 안전해변)해변으로 지정되었다.",061-550-5427,완도군청 관광과,2020-08-12
"해조류센터",관광지,전라남도 완도군 완도읍 해변공원로 84,,34.320789,126.748793,90100,화장실+주차장+관광안내소,,,,,,2012-01-01,1000,100,2014년 3월에 개관한 완도국제해조류박람회 주제관으로 특산품 홍보관과 해조류 전시실로 구성되어 있다.,061-550-5872,완도군청 해양정책과,2020-08-12
