순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,목포시,목포역,전남 목포시 영산로 98-0,기타관광,교통시설,137248
2,담양군,죽녹원,전남 담양군 죽녹원로 119-0,자연관광,자연공원,135926
3,순천시,순천역,전남 순천시 팔마로 135-0,기타관광,교통시설,117550
4,여수시,오동도,전남 여수시 오동도로 222-0,자연관광,자연경관(하천/해양),116274
5,순천시,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,기타관광,112044
6,여수시,여수해상케이블카놀아정류장,전남 여수시 돌산로 3600-1,기타관광,기타관광,106753
7,여수시,향일암,전남 여수시 향일암로 1-0,역사관광,종교성지,99254
8,완도군,완도항여객선터미널,전남 완도군 장보고대로 339-0,기타관광,교통시설,93616
9,여수시,아쿠아플라넷여수,전남 여수시 오동도로 61-11,문화관광,테마공원,91763
10,여수시,여수공항,전남 여수시 여순로 386-0,기타관광,교통시설,85437
11,광양시,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑,쇼핑몰,83926
12,목포시,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광,기타관광,82133
13,여수시,여수엑스포역,전남 여수시 망양로 2-0,기타관광,교통시설,79212
14,목포시,목포종합버스터미널,전남 목포시 영산로 525-0,기타관광,교통시설,73128
15,여수시,여수예술랜드,전남 여수시 무술목길 142-1,레저스포츠,기타레저스포츠,71814
16,구례군,화엄사,전남 구례군 화엄사로 539-0,역사관광,종교성지,65416
17,목포시,목포연안여객선터미널,전남 목포시 해안로 182-0,기타관광,교통시설,64013
18,영광군,호남해안로드4코스영광백수해안도로,전남 영광군,기타관광,데이트코스,60876
19,나주시,나주역,전남 나주시 나주역길 56-0,기타관광,교통시설,59555
20,순천시,순천만습지,전남 순천시 순천만길 513-25,기타관광,기타관광,59291
21,고흥군,녹동항,전남 고흥군 비봉로 159-0,자연관광,자연경관(하천/해양),55059
22,여수시,만성리검은모래해변,전남 여수시,자연관광,자연경관(하천/해양),53487
23,담양군,메타프로방스,전남 담양군 메타프로방스1길 17-0,문화관광,복합관광시설,51633
24,여수시,아르떼뮤지엄여수,전남 여수시 박람회길 1-0,문화관광,전시시설,51457
25,곡성군,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광,기타관광,51038
26,무안군,롯데아울렛남악점,전남 무안군 남악로162번길 80-0,쇼핑,쇼핑몰,49032
27,장성군,백양사,전남 장성군 백양로 1239-0,역사관광,종교성지,48773
28,순천시,낙안읍성민속마을,전남 순천시 충민길 30-0,역사관광,역사유적지,45660
