순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,전라남도,순천시,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,기타관광,245254
2,전라남도,목포시,목포역,전남 목포시 영산로 98-0,기타관광,교통시설,159899
3,전라남도,순천시,순천역,전남 순천시 팔마로 135-0,기타관광,교통시설,141882
4,전라남도,담양군,죽녹원,전남 담양군 죽녹원로 119-0,자연관광,자연공원,132973
5,전라남도,여수시,오동도,전남 여수시 오동도로 222-0,자연관광,자연경관(하천/해양),113284
6,전라남도,여수시,여수해상케이블카놀아정류장,전남 여수시 돌산로 3600-1,기타관광,기타관광,105109
7,전라남도,광양시,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑,쇼핑몰,102492
8,전라남도,완도군,완도항여객선터미널,전남 완도군 장보고대로 339-0,기타관광,교통시설,101505
9,전라남도,여수시,향일암,전남 여수시 향일암로 1-0,역사관광,종교성지,94006
10,전라남도,목포시,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광,기타관광,85483
11,전라남도,여수시,아쿠아플라넷여수,전남 여수시 오동도로 61-11,문화관광,테마공원,83145
12,전라남도,여수시,여수엑스포역,전남 여수시 망양로 2-0,기타관광,교통시설,82066
13,전라남도,목포시,목포종합버스터미널,전남 목포시 영산로 525-0,기타관광,교통시설,76492
14,전라남도,구례군,화엄사,전남 구례군 화엄사로 539-0,역사관광,종교성지,71502
15,전라남도,나주시,나주역,전남 나주시 나주역길 56-0,기타관광,교통시설,66728
16,전라남도,여수시,여수예술랜드,전남 여수시 무술목길 142-1,레저스포츠,기타레저스포츠,66654
17,전라남도,목포시,목포연안여객선터미널,전남 목포시 해안로 182-0,기타관광,교통시설,63783
18,전라남도,고흥군,녹동항,전남 고흥군 비봉로 159-0,자연관광,자연경관(하천/해양),58260
19,전라남도,무안군,롯데아울렛남악점,전남 무안군 남악로162번길 80-0,쇼핑,쇼핑몰,57042
20,전라남도,장성군,백양사,전남 장성군 백양로 1239-0,역사관광,종교성지,54430
21,전라남도,여수시,여수공항,전남 여수시 여순로 386-0,기타관광,교통시설,53407
22,전라남도,담양군,메타프로방스,전남 담양군 메타프로방스1길 17-0,문화관광,복합관광시설,53133
